item_id,category,template_id,d_conflict,d_control,swing
A_000,A,A1,1.681427,-1.4112673,-3.0926943
A_002,A,A1,0.10277176,-2.6154366,-2.7182083
A_004,A,A1,0.63763237,-2.6293764,-3.2670088
A_006,A,A1,-0.21714783,-3.0114326,-2.7942848
A_008,A,A1,-0.13396454,-2.6015768,-2.4676123
A_010,A,A1,0.15648174,-3.0239058,-3.1803875
A_012,A,A1,1.4425583,-2.0188627,-3.461421
A_014,A,A1,-0.2324171,-3.250062,-3.017645
A_016,A,A1,-0.59840584,-3.1263647,-2.5279589
A_018,A,A1,0.8589754,-1.6807499,-2.5397253
A_020,A,A1,0.52119255,-1.8168726,-2.3380651
A_022,A,A1,0.40450954,-2.9128103,-3.3173199
A_024,A,A1,0.25271988,-2.3739204,-2.6266403
A_026,A,A1,-0.61922264,-4.659465,-4.040242
A_028,A,A1,0.6211195,-2.7581358,-3.3792553
A_030,A,A1,1.5023365,-0.8185463,-2.3208828
A_032,A,A1,0.73186874,-3.7464275,-4.4782963
A_034,A,A1,1.6996489,-0.5614567,-2.2611055
A_036,A,A1,-0.71908283,-2.9679956,-2.2489128
A_038,A,A1,0.1813879,-3.1612616,-3.3426495
A_001,A,A1,-0.76895046,-3.0454454,-2.276495
A_003,A,A1,-2.2543793,-4.9352837,-2.6809044
A_005,A,A1,-0.37502956,-1.687336,-1.3123064
A_007,A,A1,-1.9535809,-5.060361,-3.10678
A_009,A,A1,-0.71071625,-2.9758368,-2.2651205
A_011,A,A1,-0.6524477,-5.50658,-4.854132
A_013,A,A1,-1.5771132,-5.291212,-3.714099
A_015,A,A1,-2.5220137,-5.1868916,-2.664878
A_017,A,A1,-2.027771,-3.1413298,-1.1135588
A_019,A,A1,-0.9980755,-4.3180046,-3.3199291
A_021,A,A1,0.26811123,-4.1619186,-4.43003
A_023,A,A1,0.33418941,-1.7774439,-2.1116333
A_025,A,A1,-1.7284756,-3.2537508,-1.5252752
A_029,A,A1,-1.474328,-3.1117163,-1.6373882
A_031,A,A1,1.7272854,-2.3283787,-4.055664
A_033,A,A1,-1.0022774,-4.23153,-3.2292528
A_035,A,A1,-0.07648277,-2.5889711,-2.5124884
A_037,A,A1,-0.8192072,-2.9962816,-2.1770744
A_039,A,A1,0.24852943,-2.3896332,-2.6381626
B_001,B,B1,0.8369398,-5.9452753,-6.782215
B_005,B,B1,2.5443096,-3.729927,-6.2742367
B_009,B,B1,1.410511,-5.5217214,-6.9322324
B_013,B,B1,0.7790699,-7.8639784,-8.643048
B_017,B,B1,0.4209175,-7.376053,-7.7969704
B_021,B,B1,-1.3670235,-9.090147,-7.7231236
B_004,B,B1,-1.05021,-9.270464,-8.220254
B_008,B,B1,-1.3549948,-7.6833553,-6.3283606
B_012,B,B1,-0.33789062,-6.25398,-5.9160895
B_016,B,B1,-1.1654463,-7.695984,-6.5305376
B_020,B,B1,-1.7280474,-7.382401,-5.6543536
B_003,B,B2,0.688797,-7.246108,-7.934905
B_007,B,B2,-0.07973766,-6.314538,-6.2348003
B_011,B,B2,-0.21272182,-8.12648,-7.9137583
B_015,B,B2,-0.54647255,-6.7468925,-6.20042
B_019,B,B2,0.35228062,-6.8806343,-7.232915
B_002,B,B2,-0.7638445,-7.5353208,-6.7714763
B_006,B,B2,0.35992527,-8.963358,-9.323283
B_010,B,B2,1.1608639,-4.2095575,-5.3704214
B_014,B,B2,2.1556396,-8.702248,-10.857887
B_018,B,B2,0.04540634,-10.794306,-10.839712
B_022,B,B2,0.4036827,-7.035573,-7.4392557
C_000,C,C1,6.248233,-14.384118,-20.63235
C_001,C,C1,3.0664825,-15.3841915,-18.450674
C_002,C,C1,2.4797916,-11.584947,-14.064738
C_003,C,C1,3.2575636,-5.3165216,-8.574085
C_004,C,C1,1.9688826,-11.749914,-13.718797
C_005,C,C1,1.9096794,-5.2330008,-7.14268
C_006,C,C1,1.7038202,-8.96018,-10.6640005
C_007,C,C1,3.5818863,-12.0967655,-15.678652
C_008,C,C1,3.1674042,-7.4039383,-10.571342
C_009,C,C1,1.0062933,-14.256369,-15.262662
C_010,C,C1,4.6199894,-13.997764,-18.617752
C_011,C,C1,3.148387,-9.019372,-12.167759
C_012,C,C1,3.2657042,-10.283377,-13.549081
C_013,C,C1,4.006832,-8.095205,-12.102037
C_014,C,C1,2.6175756,-10.321608,-12.939183
C_015,C,C1,1.9326191,-11.409704,-13.342323
C_016,C,C1,2.4537792,-6.7551985,-9.208978
C_017,C,C1,1.2709551,-8.417809,-9.688764
C_021,C,C2,2.4699183,-7.592621,-10.062539
C_020,C,C2,9.181707,-9.211021,-18.392729
C_022,C,C2,8.784802,-8.870859,-17.655663
C_023,C,C2,5.2574024,-7.242632,-12.500034
C_019,C,C2,7.7229195,-11.175805,-18.898724
C_018,C,C2,6.3974237,-8.320031,-14.717455
C_024,C,C2,5.941231,-7.9217663,-13.862997
