category,template_id,layer,head_idx,mean_baseline,mean_ablated,mean_delta,n_items
A,A1,9,9,0.41371948,0.3181495189666748,-0.09556994438171387,20
A,A1,10,0,0.41371948,0.31152920722961425,-0.10219025611877441,20
A,A1,10,2,0.41371948,0.47484564781188965,0.061126184463500974,20
A,A1,10,6,0.41371948,0.3692668914794922,-0.044452571868896486,20
A,A1,10,7,0.41371948,0.29509792327880857,-0.11862154006958008,20
A,A1,11,1,0.41371948,0.43733811378479004,0.023618650436401368,20
A,A1,11,2,0.41371948,0.2625885009765625,-0.15113096237182616,20
A,A1,11,3,0.41371948,0.37430591583251954,-0.03941354751586914,20
A,A1,11,6,0.41371948,0.3749529838562012,-0.0387664794921875,20
A,A1,11,10,0.41371948,0.6919736862182617,0.27825422286987306,20
A,A1,9,9,-0.82453793,-0.797107458114624,0.02743043899536133,20
A,A1,10,0,-0.82453793,-0.7091075897216796,0.11543030738830566,20
A,A1,10,2,-0.82453793,-0.8253031730651855,-0.0007652759552001954,20
A,A1,10,6,-0.82453793,-0.8494193077087402,-0.024881410598754882,20
A,A1,10,7,-0.82453793,-0.7340397834777832,0.09049811363220214,20
A,A1,11,1,-0.82453793,-0.7709877014160156,0.053550195693969724,20
A,A1,11,2,-0.82453793,-0.8776605129241943,-0.05312261581420898,20
A,A1,11,3,-0.82453793,-0.7585372447967529,0.06600065231323242,20
A,A1,11,6,-0.82453793,-0.7264085292816163,0.09812936782836915,20
A,A1,11,10,-0.82453793,-1.1117429733276367,-0.28720507621765134,20
B,B1,8,3,0.7707874,0.8677579561869303,0.0969705581665039,6
B,B1,8,10,0.7707874,0.6521150271097819,-0.11867237091064453,6
B,B1,9,6,0.7707874,0.5664588610331217,-0.2043285369873047,6
B,B1,10,0,0.7707874,0.7854924201965332,0.014705022176106771,6
B,B1,10,1,0.7707874,0.16410032908121744,-0.606687068939209,6
B,B1,10,7,0.7707874,0.6962688763936361,-0.07451852162679036,6
B,B1,10,11,0.7707874,0.4641532897949219,-0.3066341082255046,6
B,B1,11,3,0.7707874,0.41598987579345703,-0.3547975222269694,6
B,B1,11,10,0.7707874,0.9179941813151041,0.14720678329467773,6
B,B1,11,11,0.7707874,0.2730596860249837,-0.4977277119954427,6
B,B1,8,3,-1.1273178,-1.305069351196289,-0.1777515411376953,5
