category,layer,head_idx,mean_effect,median_effect,se,n,p_value,fdr_significant
A,0,0,0.002288785559040285,0.002421677608841967,0.0014672786055640837,40,0.03944668134499807,False
A,0,1,-0.027506649873867937,-0.0235748273644402,0.005540071801000295,40,2.4437304091406986e-06,True
A,0,2,-0.000466107293245475,0.0010104528900060307,0.0011201698809110297,40,0.8575823361643415,False
A,0,3,-0.0019423103321114326,-0.0012207563819698303,0.003155033020918464,40,0.6752568088832049,False
A,0,4,-0.0032270328121700984,0.002564562776060344,0.005539588136406259,40,0.8471556244439853,False
A,0,5,-0.004029916426919898,0.0013036438119263295,0.0036519496516403418,40,0.5448004511072213,False
A,0,6,0.009529132581578894,0.006673302181822209,0.005091293084001658,40,0.017831046616265667,True
A,0,7,-0.0010200185048519484,0.001681931097071278,0.0016718991993771662,40,0.9523059934635967,False
A,0,8,-0.0007508076434614829,0.0013653820135281088,0.0019910917650105037,40,0.9311522501084255,False
A,0,9,-0.0028778803095115325,-0.0021015456850679752,0.0014528147915826809,40,0.03812944412311481,False
A,0,10,0.015367940345315894,0.010462878231302016,0.0036427722742317955,40,4.098819044884294e-05,True
A,0,11,-0.0027100214512170294,-0.002415990959096904,0.0011826952271511543,40,0.03207873742940137,False
A,1,0,-0.003389454205191706,-0.0012889024646800939,0.0014477548268664545,40,0.062184092836105265,False
A,1,1,0.003812964777266499,0.0024489171584251793,0.0007261645504684136,40,2.2321128199109808e-06,True
A,1,2,-0.0005081013847335788,-0.0003004906732746974,0.0003802165365566393,40,0.2424468300960143,False
A,1,3,0.0018775327374344537,0.0010107535313365569,0.0007055511993930256,40,0.02497325502190506,False
A,1,4,-0.00034567719595538464,-0.0003263518340894838,0.0006983337209553042,40,0.589975534387122,False
A,1,5,-0.005922831958078375,-0.00450724333957,0.0014393434000830505,40,0.0003790976079471875,True
A,1,6,-0.0001346904542070134,4.596506533875132e-05,0.0016727652247214547,40,0.6367651425298391,False
A,1,7,0.005505618438715186,0.004757732104658937,0.002062292269898408,40,0.005332173790520756,True
A,1,8,-0.0007716590726941624,-0.0010175688454919598,0.0011165500634037788,40,0.5099141109240009,False
A,1,9,0.000677229308207534,0.0002562889179003845,0.0006679806727257038,40,0.6948266715426143,False
A,1,10,0.0002467763302112807,0.0008476663148797418,0.0007645431763390381,40,0.6752568088832049,False
A,1,11,0.007087326675739294,0.006063031565735361,0.002076210389749877,40,0.0006032901037542615,True
A,2,0,-0.0012560938540873336,-0.001084727895416929,0.0011077464472074808,40,0.19685455255421402,False
A,2,1,0.0005895868704406352,0.0034839385878063555,0.0030043648501684225,40,0.3611039877814619,False
A,2,2,0.0024228713883426393,0.00012906649651779492,0.002445709589901066,40,0.5626676823321759,False
A,2,3,-0.00018905537977270253,0.0005552001715871354,0.0006646981213348167,40,0.9205922683031531,False
A,2,4,0.0007098478978279388,0.0006222096130873512,0.0016391372686795512,40,0.6272851643807371,False
A,2,5,0.0017842839977755397,0.0021464248520529656,0.0007261980459392727,40,0.009381349105751724,True
A,2,6,-0.004256594939089151,-0.0028437549399783347,0.0017528471366585056,40,0.02884993747647968,False
A,2,7,-0.004335015770389567,-0.005770244918917523,0.002001035331675652,40,0.003867510851705447,True
A,2,8,0.0003595707688151816,6.119780045094361e-05,0.0005304241920426185,40,0.9840937587196095,False
A,2,9,0.01034772880419031,0.007107630984120042,0.002184146437685396,40,2.2321128199109808e-06,True
A,2,10,0.0011112629489484765,0.0016333708868868054,0.0009582585270817484,40,0.26487403590545,False
A,2,11,0.0006183260342720352,0.0002600367147232695,0.0008576045439194171,40,0.7648249070225575,False
A,3,0,0.006452051158847226,0.003899614586628338,0.002055574256164717,40,0.007917965558590367,True
A,3,1,-0.0008006745848087443,-0.0007038000342530985,0.0009203818067477602,40,0.28865784978552256,False
A,3,2,-9.80376221636158e-05,0.0003285552026738305,0.0011513063031619,40,0.5448004511072213,False
A,3,3,0.004597464169349373,0.003020382617543508,0.0014740488310979244,40,0.002638970910993521,True
A,3,4,-0.00046064712597436886,0.0007366600964224041,0.0009463470516114983,40,0.7546940826050559,False
A,3,5,-0.0004594368230641968,0.0006211098468201131,0.0011564332494094862,40,0.9100459608780511,False
A,3,6,0.004912785695715583,0.004259182722257747,0.0017459402129379844,40,0.005576999594268273,True
A,3,7,0.01246373839367803,0.010578522416376326,0.0020915392452448903,40,3.1401395972352475e-07,True
A,3,8,0.0014392223503549946,0.0006148627323566845,0.0007289486087186377,40,0.13508384089254832,False
A,3,9,-0.0007214574902759082,-0.0005644767262765432,0.0005788456974990594,40,0.19685455255421402,False
A,3,10,-0.004156974193379762,-0.0024855732098817665,0.0017401322528715131,40,0.033219984823517734,False
A,3,11,0.0018254092456700683,0.0016555285822346885,0.0010764815869328786,40,0.1423485195809917,False
A,4,0,-0.0006646228909730808,0.0002210329799305941,0.0005073329413004212,40,0.28865784978552256,False
A,4,1,0.0019084382391992168,0.0013902291364086754,0.0009335613945451242,40,0.05481029127986403,False
A,4,2,-0.00010635221582308307,-0.0005322815789046546,0.0005785209826035362,40,0.42021225081225566,False
A,4,3,0.0019935375830042487,-0.00018950138346269675,0.002398450978903895,40,0.6463036218483467,False
A,4,4,0.002187634730458803,0.001801240032797891,0.0016830080835845886,40,0.1577509693797765,False
A,4,5,0.0009278760683241963,0.0011744452617715052,0.0007869833978159255,40,0.10289067040321243,False
A,4,6,-0.00728533821640896,0.0019404790276915957,0.0074091649914551855,40,0.4125340336249792,False
A,4,7,-0.010348584681267013,-0.008935945485601345,0.0031949983022301915,40,0.0008436624721070984,True
A,4,8,-4.072087078443483e-05,0.0018649116699706696,0.0013591711875185649,40,0.47620780297620513,False
A,4,9,0.0015588460012233621,0.0014795977215155427,0.0003911413694753207,40,0.0001079662160918815,True
A,4,10,0.0006704927737061338,0.0002437616619941211,0.0005113931267953018,40,0.23705031063764181,False
A,4,11,0.01530715713872759,0.0008623276731783813,0.00427323641899557,40,0.020754569575728965,False
A,5,0,0.004664148921264469,0.0004048790834053416,0.00245261630557282,40,0.30106151267864334,False
A,5,1,-1.4235463574333934e-05,-1.4764912047615857e-05,3.2745412060611726e-05,40,0.6558992899281293,False
A,5,2,0.0013415903032507107,0.001978673081587912,0.0012082160973153845,40,0.11185002994352544,False
A,5,3,0.0003406463391403346,0.0008399690324004933,0.0005443264061992141,40,0.3899927400161687,False
A,5,4,-0.00041246911457781246,9.631206109714534e-05,0.0005789692522615887,40,0.7954479165618977,False
