category,layer,head_idx,mean_effect,median_effect,se,n,p_value,fdr_significant
B,0,0,-0.0006795563680846703,-0.0007296963096090949,0.0008307397274397585,22,0.5445904731750488,False
B,0,1,0.007851461711911702,-0.007877185874863408,0.01771315039273548,22,0.9746217727661133,False
B,0,2,-0.00017048479876761058,0.00010731038766368346,0.0005369970878258876,22,0.9746217727661133,False
B,0,3,0.005546971417652491,0.006131232722707807,0.002885864290056617,22,0.0542454719543457,False
B,0,4,0.005002334977611682,0.00793225189968015,0.003346847800591781,22,0.042498111724853516,False
B,0,5,0.008384320180796833,0.008089625685440648,0.002656108722558239,22,0.007443428039550781,True
B,0,6,-0.0006848762732696072,-0.0011851376939769733,0.000792702229461523,22,0.4434065818786621,False
B,0,7,-0.0009398515565136523,0.0001837635743917506,0.0011161084172364945,22,0.7261838912963867,False
B,0,8,0.001911579023301606,0.001959103605938668,0.0021685242954503497,22,0.3369474411010742,False
B,0,9,-0.0022955139826392103,-0.003537698242986499,0.0024269096967332103,22,0.30530881881713867,False
B,0,10,0.0014827805722231824,0.0006880269866759697,0.006639080698226007,22,0.9492697715759277,False
B,0,11,-0.00015168011785618617,0.0007600082181619399,0.0006979618657808786,22,0.9492697715759277,False
B,1,0,-0.0030698623492260045,-0.002188224265378581,0.0010446321674599751,22,0.01272726058959961,True
B,1,1,-3.5806948725336135e-05,0.0001568262592510322,0.00045152146585620407,22,0.8485937118530273,False
B,1,2,-0.00025728570813282105,-0.0003630296245245273,0.000169958700247436,22,0.20992755889892578,False
B,1,3,0.0002932857478194209,-0.00013906178716292192,0.00134909912736829,22,0.7023849487304688,False
B,1,4,0.00029684373191631264,0.00031670631488436125,0.00043205852161016546,22,0.2902231216430664,False
B,1,5,-0.002188882337533787,-0.0017291722635058252,0.0024195461150340863,22,0.2221074104309082,False
B,1,6,0.003579322813158588,0.006405751185331923,0.001880362438287489,22,0.027535438537597656,False
B,1,7,0.0002576336630113717,-0.000632696348100063,0.0017031980711351446,22,1.0,False
B,1,8,-0.00047207437398367954,-0.00020214290288892854,0.0005617076384782174,22,0.46277761459350586,False
B,1,9,-0.0007153704036863562,-0.0009772313779433388,0.00038675126280959436,22,0.07942724227905273,False
B,1,10,0.0001302640980169675,0.0001629408768397218,0.000258891924830489,22,0.5028400421142578,False
B,1,11,0.0039036085653171198,-0.001522536648542802,0.003220661118455844,22,0.6788630485534668,False
B,2,0,-0.001580475487157264,-0.0014634075725860449,0.0009998846809017344,22,0.1054534912109375,False
B,2,1,0.002253905874247955,0.0020860764609243175,0.0015317922947376624,22,0.19821882247924805,False
B,2,2,0.0006328537035255963,-0.000560667424208322,0.0015250679429919863,22,0.9492697715759277,False
B,2,3,0.00026742495837752474,0.0014059699214533407,0.0010231523712282576,22,0.9239659309387207,False
B,2,4,0.0012096004029573928,0.0011116760331619294,0.0004631698819870212,22,0.030117511749267578,False
B,2,5,0.00031743291760274447,0.0003611225024669311,0.0005159570924057556,22,0.46277761459350586,False
B,2,6,0.0008456162841627441,0.0018016152758193438,0.0010506086956192217,22,0.03907346725463867,False
B,2,7,-0.0015260093942260028,-0.002216227206169949,0.0005140687843273234,22,0.015583038330078125,False
B,2,8,0.00117853493290384,0.001458744196587532,0.000719397137851055,22,0.1054534912109375,False
B,2,9,-0.001583769042388398,-0.00340380899093601,0.003425962747236107,22,0.6556386947631836,False
B,2,10,0.000894708264899106,0.0009802869123662966,0.0012665729844381312,22,0.46277761459350586,False
B,2,11,-0.0010455089045278776,-0.00025594549378380246,0.0010441641304790089,22,0.6556386947631836,False
B,3,0,0.017371922368612434,0.0109205369917461,0.00840950020573423,22,0.1054534912109375,False
B,3,1,4.58160742200611e-06,0.0002201006970081812,0.0009022540804044714,22,0.898735523223877,False
B,3,2,4.952517245903929e-05,0.0009990497357356468,0.0016005088883348341,22,1.0,False
B,3,3,-0.0008963374981837964,-0.002122954779797903,0.0011086914138327287,22,0.3705310821533203,False
B,3,4,-0.004673811602037869,-0.0025357379745409012,0.0023407023014727904,22,0.050072669982910156,False
B,3,5,0.0007041177691071025,0.0015970958218662823,0.0017815588665550856,22,0.5660676956176758,False
B,3,6,-0.003085637707183943,-0.003751910911565682,0.002479442128654357,22,0.19821882247924805,False
B,3,7,-0.001710312300801481,0.0038252234157266076,0.004392344028758079,22,1.0,False
B,3,8,-0.0006804343185745814,-0.0003767763243090049,0.0006732036382270716,22,0.4825911521911621,False
B,3,9,0.0010482508858423477,-0.0004326854784614414,0.000976344472299119,22,0.4825911521911621,False
B,3,10,0.0019283298929620768,0.004000858142226298,0.0028302136484179953,22,0.3880448341369629,False
B,3,11,-0.0018474407083011403,-0.000856622395957712,0.0010743809768869114,22,0.23476219177246094,False
B,4,0,0.002632112164768349,0.002308615317128222,0.0006588810000973644,22,0.0006937980651855469,True
B,4,1,-7.247705649951908e-05,2.7358139812683022e-05,0.0011554112724002478,22,0.8485937118530273,False
B,4,2,-0.0005164365038564653,-0.0014218203283085445,0.000958861304340802,22,0.3369474411010742,False
B,4,3,0.005601293491457881,0.010941389339143914,0.004522990916102755,22,0.09173250198364258,False
B,4,4,-0.008179607859864388,-0.008291402230569013,0.003081554146936644,22,0.020858287811279297,False
B,4,5,-0.0007992350146657328,-0.000740279882587928,0.0009871157199251343,22,0.5445904731750488,False
B,4,6,0.00015732834436038887,0.0011222111853357883,0.001905634373745634,22,0.7023849487304688,False
B,4,7,0.0015239271897668173,-2.3912736379013387e-05,0.005566487466031778,22,0.7990336418151855,False
B,4,8,-0.0031236359603920394,-0.002009945870120271,0.00357848186598783,22,0.5028400421142578,False
B,4,9,-7.786276059392154e-05,-0.0003580662742694781,0.0012023980531535802,22,1.0,False
B,4,10,6.766657674250571e-05,-0.0005266550353005453,0.0008352123313797481,22,0.3705310821533203,False
B,4,11,-0.008653235651486997,0.001918837945929337,0.011160662336724494,22,0.46277761459350586,False
B,5,0,0.007921917566931471,0.0036116365381420874,0.005195034357298877,22,0.1761918067932129,False
B,5,1,0.020391501526909377,0.0456211556832926,0.017840131426233943,22,0.23476219177246094,False
B,5,2,-1.9191968309246628e-05,-0.0013549018034370182,0.00201702313088189,22,0.774528980255127,False
B,5,3,-0.0019378353788884952,-0.0008341706046650358,0.0018079570665225399,22,0.2221074104309082,False
B,5,4,0.0010147803151404815,0.001567348721110843,0.0009143524954599093,22,0.32088327407836914,False
B,5,5,0.013584587031097354,-0.0005868764557721649,0.019664132224974495,22,0.6788630485534668,False
B,5,6,0.0019193319227259165,0.004876813361780148,0.002353460628763116,22,0.15597057342529297,False
B,5,7,-0.00028201198318507126,0.00046481262787641465,0.001169448135450479,22,0.7023849487304688,False
B,5,8,0.0019314250607629978,0.010327194736916073,0.010193872092742765,22,0.9239659309387207,False
B,5,9,-0.004872809466048518,-0.005447189566627732,0.005627267793773064,22,0.46277761459350586,False
B,5,10,0.016523808641384183,0.012199723662600932,0.0031346915481345124,22,4.76837158203125e-07,True
B,5,11,-0.011791601915328388,-0.011721433224927812,0.0027957923767770805,22,0.00042819976806640625,True
B,6,0,0.0032591562305597887,0.003504363265141678,0.0011196664811637615,22,0.010324478149414062,True
B,6,1,0.009423867204345494,0.006685216400304584,0.0061504588234462705,22,0.07942724227905273,False
B,6,2,0.0005888665074147522,-0.002073763255846066,0.003610227597190845,22,0.7023849487304688,False
B,6,3,0.0048310164696817376,0.001799005517037188,0.004862683531155472,22,0.4825911521911621,False
B,6,4,0.0018314301073397608,0.001284523969510621,0.0014294751095752542,22,0.19821882247924805,False
B,6,5,-0.008453295955983224,-0.009516270583558833,0.0022212110431976575,22,0.0012617111206054688,True
B,6,6,-0.008392259470321052,-0.012067112694389481,0.010893707656239473,22,0.46277761459350586,False
B,6,7,0.013822549707281629,0.020187724608937377,0.00792963883494236,22,0.11287164688110352,False
B,6,8,0.0025852005309685913,-0.0012338512007973902,0.007778113774678953,22,0.6788630485534668,False
B,6,9,0.0347098608812082,0.025105876219341024,0.0068550094278026505,22,9.059906005859375e-06,True
B,6,10,0.004937071579829895,-0.002842635122731794,0.007331369527864755,22,0.774528980255127,False
B,6,11,1.3437432219089932e-05,0.00021094002954838298,0.0008565320755822362,22,0.9239659309387207,False
B,7,0,0.0016116391145933862,0.0014975977350077227,0.0012043523553824083,22,0.20992755889892578,False
B,7,1,0.026040810089755107,0.01793736697536884,0.0087280906625531,22,0.0019183158874511719,True
B,7,2,0.01028341948294773,0.007340198961496142,0.003827637563050439,22,0.022916316986083984,False
B,7,3,-0.021722551973724483,-0.008278269349525552,0.012889775660762314,22,0.03587532043457031,False
B,7,4,0.0003549570272545452,0.00015431724426156988,0.000765025850645399,22,0.9746217727661133,False
B,7,5,0.003131668545743568,0.0033849516075401013,0.002462783225331145,22,0.12067747116088867,False
B,7,6,-0.010554030838545014,-0.012439430572735102,0.008605980348401794,22,0.1465167999267578,False
B,7,7,0.022511076122280683,0.006691118928966327,0.008255670631895867,22,0.006649494171142578,True
B,7,8,0.008173634660901026,0.012979711502908955,0.006853393770846367,22,0.09841060638427734,False
B,7,9,-0.00392243252974154,-0.00493044810008082,0.005744540886079958,22,0.3705310821533203,False
B,7,10,0.00916154773985079,0.00722024420491983,0.001994601543207893,22,8.058547973632812e-05,True
B,7,11,0.01579761992123684,0.0017412231373092329,0.010095129725486275,22,0.4060330390930176,False
B,8,0,-0.0007555527524133486,-0.0006096133190903741,0.0010601376720474145,22,0.5879268646240234,False
B,8,1,0.008157311684929001,0.007112204501805211,0.0024173336495604946,22,0.0019183158874511719,True
B,8,2,0.0014975032247158979,0.0012904435461855018,0.0016521670402012492,22,0.4825911521911621,False
B,8,3,0.05706675458758466,0.05729756857791506,0.008174327573869008,22,4.76837158203125e-06,True
B,8,4,0.0023560899888490456,0.0025711078333523823,0.0021289555164012808,22,0.3534979820251465,False
B,8,5,0.001636215514326748,0.003908902251926615,0.0015608867954754215,22,0.3534979820251465,False
B,8,6,0.0337437357357691,0.016436531936655216,0.013090510660856274,22,0.02513885498046875,False
B,8,7,0.002422508054266465,0.002548277232962241,0.0015649028883520468,22,0.1054534912109375,False
B,8,8,0.0406453605974293,0.02948394555232653,0.008750329649810616,22,2.384185791015625e-06,True
B,8,9,-0.00972991037474291,-0.006964490409303506,0.004355035819825939,22,0.050072669982910156,False
B,8,10,-0.10633969580117003,-0.08610399222927913,0.03160570304469222,22,8.058547973632812e-05,True
B,8,11,0.019183322436768485,0.014933599802861172,0.005836783895952744,22,0.004151344299316406,True
B,9,0,0.019949011474154284,0.0194359998187607,0.004285138962066869,22,8.058547973632812e-05,True
B,9,1,-0.0029701420000316794,-0.001506951956586691,0.001673751227759604,22,0.02513885498046875,False
B,9,2,0.020386730157001324,0.02048707583524967,0.0033210391421086226,22,1.1920928955078125e-05,True
B,9,3,0.01246980108194028,0.010849236108177738,0.002032813083176446,22,4.76837158203125e-06,True
B,9,4,-0.0004909971787391234,-0.00017738868612295178,0.0014418512639333661,22,0.898735523223877,False
B,9,5,-0.01728296692867651,-0.013881397716571642,0.0036889311581161602,22,2.6226043701171875e-05,True
B,9,6,0.049928388655216364,0.05180228408793879,0.010787276495766973,22,9.870529174804688e-05,True
B,9,7,-0.001841745013680396,-0.0044442662263638934,0.005131491777662423,22,0.5660676956176758,False
B,9,8,-0.00011912947597214653,0.0007259278942797754,0.0009381998202649224,22,0.9492697715759277,False
B,9,9,0.013061163502646612,0.008884186159948187,0.003528235337625221,22,0.0025048255920410156,True
B,9,10,0.000775120639914955,0.0011567678383364913,0.001073864089486524,22,0.46277761459350586,False
B,9,11,0.00037549438484161466,-8.540153546325885e-05,0.0008448285417629342,22,0.8485937118530273,False
B,10,0,0.11852360163532095,0.0958845051849146,0.0181518437694906,22,4.76837158203125e-07,True
B,10,1,0.08856869219212109,0.05938819301467253,0.01771919699107538,22,2.384185791015625e-06,True
B,10,2,0.02238645134836149,0.017895693624278695,0.002652025069254276,22,4.76837158203125e-07,True
B,10,3,0.022092952028535593,0.005935330371956213,0.006081594955235405,22,0.0012617111206054688,True
B,10,4,0.003778675063778328,0.0015925800569370806,0.0020412251453500833,22,0.16585874557495117,False
B,10,5,4.7574182653795296e-05,-0.00013279984758006954,0.0003553297785731917,22,0.6327285766601562,False
B,10,6,0.016580151806992946,0.008448625144602318,0.006770462762959369,22,4.1961669921875e-05,True
B,10,7,-0.2329501416741147,-0.20123149481329766,0.02833608952412652,22,4.76837158203125e-07,True
B,10,8,0.0006980775561991489,0.00047165079696041216,0.0004807077850720096,22,0.4060330390930176,False
B,10,9,0.0063809831419939095,0.004891953043989653,0.0010828109057108577,22,9.5367431640625e-07,True
B,10,10,0.015113792921267294,0.011385200246371106,0.003966932191426774,22,0.000255584716796875,True
B,10,11,0.07947422845769142,0.0690024394323166,0.008194055018256577,22,4.76837158203125e-07,True
B,11,0,-0.004233194478594505,-0.0044071530064766894,0.001223575513884257,22,0.0016727447509765625,True
B,11,1,0.03619789463339484,0.025051415461726526,0.00764446650051261,22,9.059906005859375e-06,True
B,11,2,0.04063104087949613,0.03486163916916242,0.006358204863688218,22,4.76837158203125e-07,True
B,11,3,0.06730291255403352,0.059179747743401456,0.009452564674837238,22,4.76837158203125e-07,True
B,11,4,-0.0021010676866440588,-0.0016170143621654907,0.0008493511454804137,22,0.030117511749267578,False
B,11,5,0.010071289454009908,-0.0005513289483794846,0.006136183758218609,22,0.24789905548095703,False
B,11,6,0.020422069853188493,0.020646649190326608,0.0031774462307893494,22,9.5367431640625e-07,True
B,11,7,0.0139894012157543,0.014443705907158214,0.003135860165423932,22,5.245208740234375e-05,True
B,11,8,0.003974149146531175,0.0027163047100177747,0.001123137562183396,22,8.058547973632812e-05,True
B,11,9,0.011892760871983453,0.004672512644865913,0.0030676392937039813,22,6.532669067382812e-05,True
B,11,10,-0.08843654395012251,-0.0740093257656581,0.0076829929816264846,22,4.76837158203125e-07,True
B,11,11,0.06217167311253078,0.0606854524709006,0.00806883229419573,22,4.76837158203125e-07,True
