category,layer,head_idx,mean_effect,median_effect,se,n,p_value,fdr_significant
C,0,0,0.001019781527056017,0.0016941568671178318,0.0006728203105442035,25,0.05875152349472046,False
C,0,1,0.033311327191977866,0.029385946349270543,0.004033311897354569,25,5.960464477539063e-08,True
C,0,2,0.029513579546905856,0.022844093841762867,0.006393291861410256,25,2.2113323211669922e-05,True
C,0,3,0.026685379779902645,0.0217183969842075,0.0038605653908802594,25,2.980232238769531e-07,True
C,0,4,0.03855731476157218,0.0369130250674856,0.0031810622577038692,25,5.960464477539063e-08,True
C,0,5,0.027971353683981244,0.028852261733358066,0.0027624464538415746,25,1.1920928955078125e-07,True
C,0,6,0.004050275928918583,0.0036855101042263427,0.002291421937551071,25,0.1134914755821228,False
C,0,7,0.0012011742706380566,0.0016968174084663577,0.0012369441665866527,25,0.07547956705093384,False
C,0,8,0.0011493187740248554,0.0015124258749275657,0.0009033355234853212,25,0.17295855283737183,False
C,0,9,0.006456135726658049,0.005087571475786352,0.002050873728819544,25,0.0014527440071105957,True
C,0,10,0.0023378082431154516,0.0014545215700017674,0.0017172629226899013,25,0.18172985315322876,False
C,0,11,0.00017483766515498416,1.5106159681568257e-05,0.000657142869001494,25,0.8739878535270691,False
C,1,0,-0.00037671602352297163,-0.00022779447865112578,0.00043394084049709034,25,0.6528410911560059,False
C,1,1,0.0002391080939130246,0.00020426203792840567,0.00042635995396397825,25,0.5964998602867126,False
C,1,2,-0.00034024838670508947,-0.00031125187644309753,0.00019009521057737478,25,0.06670159101486206,False
C,1,3,0.0010372396989090141,0.0011981879510144875,0.0008940958922785977,25,0.16449612379074097,False
C,1,4,0.0006353513671353193,0.0003397649625905844,0.00040106667753597974,25,0.1134914755821228,False
C,1,5,-0.011784244357623763,-0.008666573259092699,0.003136755549235248,25,0.00016230344772338867,True
C,1,6,0.003566321421359637,0.0024066300505640346,0.0010521609240804852,25,0.0014527440071105957,True
C,1,7,0.0008600898585066834,0.0014741608070110315,0.0008920705281125777,25,0.3665854334831238,False
C,1,8,-2.7901906341197927e-05,0.0003932460641585794,0.0005600323217631022,25,0.615043044090271,False
