k,cat_a,cat_b,intersection,jaccard,expected_jaccard,p_upper
5,A,B,1,0.1111111111111111,0.017667844522968202,0.1641023420690787
5,A,C,2,0.25,0.017667844522968202,0.00930647948927841
5,B,C,2,0.25,0.017667844522968202,0.00930647948927841
10,A,B,4,0.25,0.03597122302158273,0.0020772987097341464
10,A,C,5,0.3333333333333333,0.03597122302158273,0.00011319956275378645
10,B,C,4,0.25,0.03597122302158273,0.0020772987097341464
20,A,B,10,0.3333333333333333,0.07462686567164178,2.1572645104755286e-05
20,A,C,11,0.3793103448275862,0.07462686567164178,1.6689409258083336e-06
20,B,C,8,0.25,0.07462686567164178,0.0015334728189456328
30,A,B,15,0.3333333333333333,0.11627906976744187,4.55193057618007e-05
30,A,C,17,0.3953488372093023,0.11627906976744187,6.934638768784481e-07
30,B,C,17,0.3953488372093023,0.11627906976744187,6.934638768784481e-07
