item_id,category,template_id,d_conflict,d_control,swing
A_000,A,A1,0.7803869,-2.816102,-3.596489
A_001,A,A1,2.3385677,-0.51130104,-2.8498688
A_002,A,A1,0.64294624,-2.147398,-2.7903442
A_006,A,A1,0.5786991,-0.93995094,-1.51865
A_007,A,A1,0.6445751,-2.4250307,-3.0696058
A_008,A,A1,0.11827755,-3.5344477,-3.6527252
A_017,A,A1,2.398262,-0.2118082,-2.6100702
A_019,A,A1,0.6818247,-1.52559,-2.2074146
A_020,A,A1,0.31144905,-3.2109346,-3.5223837
A_021,A,A1,1.7412167,-1.1160173,-2.857234
A_022,A,A1,2.4229116,-0.48235798,-2.9052696
A_030,A,A1,-0.1361084,-2.2397642,-2.1036558
A_038,A,A1,2.3644962,-0.81218433,-3.1766806
B_000,B,B1,-0.39821148,-1.7385416,-1.3403301
B_002,B,B1,-1.8577785,-8.738341,-6.880563
B_004,B,B1,-2.4669228,-11.5360365,-9.069114
B_006,B,B1,0.69174576,-9.0480995,-9.739845
B_008,B,B1,-1.4437637,-10.21451,-8.770746
B_010,B,B1,-1.2997751,-9.814547,-8.514771
B_012,B,B1,-1.4117737,-9.388666,-7.9768925
B_014,B,B1,0.30970955,-10.071505,-10.381214
B_016,B,B1,-3.2744493,-9.889381,-6.614932
B_018,B,B1,-2.2833357,-12.492246,-10.20891
B_020,B,B1,-0.645874,-7.7207165,-7.0748425
B_022,B,B1,-2.0132866,-9.336473,-7.323187
B_001,B,B2,-0.25971127,-8.2643585,-8.004647
B_003,B,B2,-0.63417625,-7.991839,-7.3576627
B_005,B,B2,0.39702892,-4.3017244,-4.6987534
B_007,B,B2,-0.32461262,-7.8384533,-7.5138407
B_009,B,B2,-0.479455,-4.0290155,-3.5495605
B_011,B,B2,1.1311712,-9.27232,-10.403491
B_013,B,B2,-0.65771294,-8.591624,-7.9339113
B_015,B,B2,-0.2550764,-6.4902363,-6.23516
B_017,B,B2,0.1095953,-8.941307,-9.050902
B_019,B,B2,-1.2393103,-6.6087847,-5.3694744
B_021,B,B2,1.6174526,-10.856042,-12.473495
B_023,B,B2,-0.6561613,-2.9762716,-2.3201103
C_000,C,C1,-2.244173,-11.115276,-8.871103
C_001,C,C1,-3.717661,-10.386623,-6.6689625
C_002,C,C1,-1.1414051,-9.269189,-8.127784
C_003,C,C1,-3.6578646,-10.386404,-6.7285395
C_004,C,C1,-2.3419294,-10.232709,-7.8907795
C_005,C,C1,-2.4040127,-7.1437664,-4.7397537
C_006,C,C1,-2.8046665,-8.970408,-6.165742
C_007,C,C1,-2.7427387,-8.967305,-6.2245665
C_008,C,C1,-3.6947775,-9.38813,-5.6933527
C_009,C,C1,-1.7013159,-8.727442,-7.026126
C_010,C,C1,-1.6776066,-5.067959,-3.3903522
C_011,C,C1,-2.508109,-5.5599833,-3.0518742
C_012,C,C1,-1.7899208,-6.7657766,-4.975856
C_013,C,C1,-2.2788048,-7.5745096,-5.295705
C_014,C,C1,-3.271698,-10.607591,-7.3358927
C_015,C,C1,-2.6454668,-8.327726,-5.6822596
C_016,C,C2,1.8976727,-4.5856476,-6.48332
C_020,C,C2,-0.09740925,-6.817272,-6.719863
C_022,C,C2,2.1466208,-4.598444,-6.7450647
C_019,C,C2,1.5432034,-6.029294,-7.5724974
C_021,C,C2,0.5747938,-6.830188,-7.4049816
C_017,C,C2,-3.3644085,-4.5865355,-1.222127
