category,template_id,layer,head_idx,mean_baseline,mean_ablated,mean_delta,n_items
A,A1,9,2,-0.31189948,-0.1660097599029541,0.1458897113800049,20
A,A1,10,12,-0.31189948,-0.09739351272583008,0.2145059585571289,20
A,A1,11,5,-0.31189948,-0.5488583087921143,-0.23695883750915528,20
A,A1,11,7,-0.31189948,-0.1403660774230957,0.17153339385986327,20
A,A1,13,1,-0.31189948,-0.08771319389343261,0.22418627738952637,20
A,A1,13,5,-0.31189948,-0.3486994743347168,-0.03680000305175781,20
A,A1,16,0,-0.31189948,-0.270564603805542,0.04133486747741699,20
A,A1,20,13,-0.31189948,-0.23858962059020997,0.07330985069274902,20
A,A1,20,15,-0.31189948,-0.12089576721191406,0.19100370407104492,20
A,A1,22,6,-0.31189948,-0.30887618064880373,0.0030232906341552735,20
A,A1,9,2,-0.096258596,0.13730344772338868,0.23356204032897948,20
A,A1,10,12,-0.096258596,-0.03604512214660645,0.060213470458984376,20
A,A1,11,5,-0.096258596,-0.10977277755737305,-0.013514184951782226,20
A,A1,11,7,-0.096258596,-0.0535825252532959,0.04267606735229492,20
A,A1,13,1,-0.096258596,0.03401031494140625,0.13026890754699708,20
A,A1,13,5,-0.096258596,-0.12411627769470215,-0.02785768508911133,20
A,A1,16,0,-0.096258596,-0.055349302291870114,0.0409092903137207,20
A,A1,20,13,-0.096258596,-0.007249355316162109,0.08900923728942871,20
A,A1,20,15,-0.096258596,-0.08373150825500489,0.012527084350585938,20
A,A1,22,6,-0.096258596,-0.13450040817260742,-0.0382418155670166,20
B,B1,11,14,1.5150642,1.0342521667480469,-0.48081207275390625,6
B,B1,12,0,1.5150642,1.5504929224650066,0.03542868296305338,6
B,B1,13,5,1.5150642,1.7885332107543945,0.2734689712524414,6
B,B1,14,0,1.5150642,1.6514471371968586,0.1363828976949056,6
B,B1,15,6,1.5150642,1.3617372512817383,-0.15332698822021484,6
B,B1,16,0,1.5150642,1.566868782043457,0.051804542541503906,6
B,B1,17,2,1.5150642,1.7101349830627441,0.19507074356079102,6
B,B1,18,14,1.5150642,1.4673765500386555,-0.047687689463297524,6
B,B1,19,9,1.5150642,0.9933681488037109,-0.5216960906982422,6
B,B1,19,15,1.5150642,2.2798844973246255,0.7648202578226725,6
B,B1,11,14,-1.6067343,-1.4844932556152344,0.12224102020263672,6
B,B1,12,0,-1.6067343,-1.5851489702860515,0.02158530553181966,6
B,B1,13,5,-1.6067343,-1.9657645225524902,-0.35903024673461914,6
B,B1,14,0,-1.6067343,-1.3573137919108074,0.2494204839070638,6
B,B1,15,6,-1.6067343,-1.7613433202107747,-0.15460904439290366,6
B,B1,16,0,-1.6067343,-1.5433011054992676,0.06343317031860352,6
B,B1,17,2,-1.6067343,-1.7608113288879395,-0.15407705307006836,6
B,B1,18,14,-1.6067343,-1.666988213857015,-0.06025393803914388,6
B,B1,19,9,-1.6067343,-1.794458230336507,-0.18772395451863608,6
B,B1,19,15,-1.6067343,-1.3028955459594727,0.30383872985839844,6
B,B2,11,14,-0.32988295,-0.4304388364156087,-0.1005558967590332,6
B,B2,12,0,-0.32988295,-0.3506118456522624,-0.020728905995686848,6
B,B2,13,5,-0.32988295,-0.036026954650878906,0.2938559850056966,6
B,B2,14,0,-0.32988295,-0.6288318634033203,-0.2989489237467448,6
B,B2,15,6,-0.32988295,-0.2881471316019694,0.04173580805460612,6
B,B2,16,0,-0.32988295,-0.33649174372355145,-0.006608804066975911,6
B,B2,17,2,-0.32988295,-0.10909128189086914,0.2207916577657064,6
B,B2,18,14,-0.32988295,-0.6035312016805013,-0.2736482620239258,6
B,B2,19,9,-0.32988295,-0.9333149592081705,-0.6034320195515951,6
B,B2,19,15,-0.32988295,0.16776180267333984,0.49764474232991535,6
B,B2,11,14,0.52675134,0.538819154103597,0.012067794799804688,6
B,B2,12,0,0.52675134,0.6559562683105469,0.12920490900675455,6
B,B2,13,5,0.52675134,0.08320029576619466,-0.44355106353759766,6
B,B2,14,0,0.52675134,0.9828906059265137,0.4561392466227214,6
B,B2,15,6,0.52675134,0.3803127606709798,-0.1464385986328125,6
B,B2,16,0,0.52675134,0.6839129130045573,0.15716155370076498,6
B,B2,17,2,0.52675134,0.4500741958618164,-0.0766771634419759,6
B,B2,18,14,0.52675134,0.5078606605529785,-0.0188906987508138,6
B,B2,19,9,0.52675134,0.2721521059672038,-0.25459925333658856,6
B,B2,19,15,0.52675134,0.8297726313273112,0.30302127202351886,6
C,C1,7,7,-2.5388844,-2.9920196533203125,-0.45313525199890137,16
C,C1,9,2,-2.5388844,-2.050273835659027,0.48861056566238403,16
C,C1,10,10,-2.5388844,-2.1587422490119934,0.3801421523094177,16
C,C1,11,14,-2.5388844,-2.9342228174209595,-0.39533841609954834,16
C,C1,14,0,-2.5388844,-2.231924831867218,0.3069595694541931,16
C,C1,16,0,-2.5388844,-2.2651748061180115,0.27370959520339966,16
C,C1,17,6,-2.5388844,-0.43029290437698364,2.1085914969444275,16
C,C1,17,10,-2.5388844,-2.693602502346039,-0.15471810102462769,16
C,C1,19,15,-2.5388844,-2.6178979873657227,-0.07901358604431152,16
C,C1,20,15,-2.5388844,-2.8589314818382263,-0.3200470805168152,16
C,C2,7,7,1.8976727,1.7394523620605469,-0.1582202911376953,1
C,C2,9,2,1.8976727,1.7968177795410156,-0.10085487365722656,1
C,C2,10,10,1.8976727,1.8816823959350586,-0.015990257263183594,1
C,C2,11,14,1.8976727,1.3701181411743164,-0.5275545120239258,1
C,C2,14,0,1.8976727,2.264712333679199,0.36703968048095703,1
C,C2,16,0,1.8976727,2.298686981201172,0.4010143280029297,1
C,C2,17,6,1.8976727,-0.10339164733886719,-2.0010643005371094,1
C,C2,17,10,1.8976727,1.4113473892211914,-0.4863252639770508,1
C,C2,19,15,1.8976727,3.3244409561157227,1.4267683029174805,1
C,C2,20,15,1.8976727,1.2691459655761719,-0.6285266876220703,1
C,C2,7,7,1.0246058,0.9793047904968262,-0.045300960540771484,2
C,C2,9,2,1.0246058,1.0554981231689453,0.030892372131347656,2
C,C2,10,10,1.0246058,1.0973682403564453,0.07276248931884766,2
C,C2,11,14,1.0246058,0.34575986862182617,-0.6788458824157715,2
C,C2,14,0,1.0246058,1.253309726715088,0.22870397567749023,2
C,C2,16,0,1.0246058,1.4074101448059082,0.38280439376831055,2
C,C2,17,6,1.0246058,0.9436631202697754,-0.08094263076782227,2
C,C2,17,10,1.0246058,0.7023892402648926,-0.3222165107727051,2
C,C2,19,15,1.0246058,2.418916702270508,1.3943109512329102,2
C,C2,20,15,1.0246058,0.661585807800293,-0.3630199432373047,2
C,C2,7,7,1.0589986,0.8245282173156738,-0.23447036743164062,2
C,C2,9,2,1.0589986,1.0987310409545898,0.03973245620727539,2
C,C2,10,10,1.0589986,1.1441941261291504,0.08519554138183594,2
C,C2,11,14,1.0589986,0.23885345458984375,-0.8201451301574707,2
C,C2,14,0,1.0589986,1.3668160438537598,0.3078174591064453,2
C,C2,16,0,1.0589986,1.4851059913635254,0.42610740661621094,2
C,C2,17,6,1.0589986,0.9817032814025879,-0.07729530334472656,2
C,C2,17,10,1.0589986,0.911097526550293,-0.14790105819702148,2
C,C2,19,15,1.0589986,2.2857437133789062,1.2267451286315918,2
C,C2,20,15,1.0589986,0.7712721824645996,-0.28772640228271484,2
C,C2,7,7,-3.3644085,-3.3968772888183594,-0.03246879577636719,1
C,C2,9,2,-3.3644085,-3.4296178817749023,-0.06520938873291016,1
C,C2,10,10,-3.3644085,-3.3419198989868164,0.02248859405517578,1
C,C2,11,14,-3.3644085,-4.420292854309082,-1.0558843612670898,1
C,C2,14,0,-3.3644085,-3.1124229431152344,0.2519855499267578,1
C,C2,16,0,-3.3644085,-2.433863639831543,0.9305448532104492,1
C,C2,17,6,-3.3644085,-3.642688751220703,-0.27828025817871094,1
C,C2,17,10,-3.3644085,-3.5993080139160156,-0.23489952087402344,1
C,C2,19,15,-3.3644085,-1.2451887130737305,2.1192197799682617,1
C,C2,20,15,-3.3644085,-3.726663589477539,-0.3622550964355469,1
