category,layer,head_idx,mean_effect,median_effect,se,n,p_value,fdr_significant
A,0,0,0.0021025760424387653,0.001737524209971995,0.0035351636032512077,40,0.13508384089254832,False
A,0,1,1.0824950204675934e-05,4.03473151472995e-06,1.624745682206282e-05,40,0.6752568088832049,False
A,0,2,0.001111385809984935,0.001980461835446711,0.0008123518546962395,40,0.14608894804041483,False
A,0,3,0.005644181128022379,0.0066441717388681905,0.0025342275545201087,40,0.02497325502190506,False
A,0,4,0.002974278852307507,0.0034410770777523513,0.002125395127470301,40,0.012015921452984912,True
A,0,5,0.008101379867040261,0.006449425334882899,0.003121752281636769,40,0.0008912169196264585,True
A,0,6,-0.0007987248510574647,-0.0023135484259759484,0.0016195266671436665,40,0.2765956516359438,False
A,0,7,-0.0020042416746395286,0.0006100962727406053,0.0016116899927422705,40,0.5013747400735156,False
A,0,8,8.451021397165772e-05,0.00012058594499607766,0.0005818761654174882,40,0.8785070700851065,False
A,0,9,0.0005233632728138448,0.0001259094147712879,0.0012480217797537464,40,0.7245544941888511,False
A,0,10,0.00362241257257477,0.0022332175867996926,0.0017201331756887311,40,0.1000314528009767,False
A,0,11,-6.054008086757495e-05,-3.6935011057711534e-05,0.00177006805946491,40,0.32030806105103693,False
A,0,12,-0.00010843333471428896,0.00013864175492920335,0.00031057683572506886,40,0.8057269839482615,False
A,0,13,7.838352355413254e-05,4.899564277682514e-05,6.574557910624853e-05,40,0.35409228332900966,False
A,0,14,-0.0016237788491078229,-0.00010834933102089092,0.002925667335622147,40,0.8995151304461615,False
A,0,15,-0.0018326726809021674,-0.0012595827677308862,0.0016197344568119154,40,0.16589964473860164,False
A,1,0,6.928710659067426e-05,9.74915639977967e-05,0.0001495668731546473,40,0.7546940826050559,False
A,1,1,-0.0002349474573130983,-0.0002190917881372561,0.0004822567165025591,40,0.6850159026034817,False
A,1,2,0.0004721389285301315,9.767800126648335e-05,0.001113504704956976,40,0.826382224491681,False
A,1,3,0.00031579657388605844,-0.0015557598425045794,0.002034732093276154,40,0.6272851643807371,False
A,1,4,0.0005263817465528415,0.00023267028583846524,0.0005127941816761739,40,0.3974238318751304,False
A,1,5,-0.0007411985740499206,-0.001462860156061752,0.00157255310222655,40,0.3753805605592788,False
A,1,6,-0.002522073619191617,-0.001257926630680747,0.0022768297953988585,40,0.3073915451623179,False
A,1,7,-0.00020428918423297734,-0.0006190327210168588,0.00045747549568836453,40,0.4125340336249792,False
A,1,8,0.0026334856254201146,0.0011428103680973156,0.0012958684622614146,40,0.03944668134499807,False
A,1,9,0.0008653124134523165,0.0008002207630149391,0.0009100846444412404,40,0.03560432962331106,False
A,1,10,0.00413900540806122,0.0014920034390627837,0.0018585612387165785,40,0.06414752090131515,False
A,1,11,0.0025728976172244115,0.0008916481943077473,0.0017476494542398489,40,0.1315581506714807,False
A,1,12,0.000616404218976019,0.00029349109872652625,0.0008920917308916485,40,0.2825841121848498,False
A,1,13,-0.0020864801453358813,-0.0007270455261950299,0.0015925899994543265,40,0.28865784978552256,False
