category,layer,head_idx,mean_effect,median_effect,se,n,p_value,fdr_significant
C,0,0,-0.0019971796197893123,-0.0006454408610892368,0.0018949628621085636,22,0.46277761459350586,False
C,0,1,-4.45946105213837e-05,-3.479000632535738e-05,2.26100901562923e-05,22,0.1054534912109375,False
C,0,2,-0.0006576788194706565,-0.000506785404532906,0.0014025263900132737,22,0.8237285614013672,False
C,0,3,0.004417161567747968,0.0028690762579166203,0.0013105738491259239,22,0.004151344299316406,True
C,0,4,0.0025947166679955603,0.0034701423318048083,0.0014732855823946973,22,0.06341934204101562,False
C,0,5,0.006960413765687057,0.004707267585090392,0.0026818972512094546,22,0.011472702026367188,True
C,0,6,0.0010630179486021344,-0.00016761732400572482,0.003130242538573323,22,0.9239659309387207,False
C,0,7,0.004058007409269562,0.005644977101849929,0.004206135135243833,22,0.1465167999267578,False
C,0,8,-0.00045293580643645663,0.00022494216722518956,0.0010855277527638877,22,0.9492697715759277,False
C,0,9,0.0012581330744674277,-0.0008137565041458703,0.002215646752371872,22,0.9239659309387207,False
C,0,10,0.0019270547429924712,-0.0013382259356621105,0.0021127487952893537,22,1.0,False
C,0,11,0.002544913794551128,-0.00010786599517589298,0.0021658619576332655,22,0.4825911521911621,False
C,0,12,-0.0005423889480704339,-0.0009312408861654219,0.0008270238636841995,22,0.1465167999267578,False
C,0,13,0.0021483897190314473,0.000966419309988946,0.0009768879432937214,22,0.014094829559326172,True
C,0,14,-0.0005137800222588811,0.0023876867855073146,0.0026346884096400468,22,0.46277761459350586,False
C,0,15,0.018319883700206162,0.015350537948507135,0.006092030322893953,22,0.009274482727050781,True
C,1,0,0.00020974137444301682,-1.3598549282958027e-05,0.0003661295063393617,22,0.898735523223877,False
C,1,1,0.0004283076606065431,0.00028936244698551754,0.00047389407549613846,22,0.4434065818786621,False
C,1,2,0.0003797387678804168,0.0008202619760185352,0.001199715567796492,22,0.7502379417419434,False
C,1,3,-0.0011880181198245883,-0.00010838741788635678,0.0015988914417907625,22,0.6788630485534668,False
C,1,4,0.010704245751848767,0.006091553855164205,0.003559268543663085,22,0.0028514862060546875,True
C,1,5,0.0012517294376573776,0.001577414713054792,0.0007048352849476963,22,0.05869007110595703,False
C,1,6,-0.0006286592302859644,-0.0025754082241407662,0.002588543282445496,22,0.6556386947631836,False
C,1,7,-0.0003772536062552145,-0.0006701129502967083,0.0008713345924695231,22,0.774528980255127,False
C,1,8,-0.0002476414048447718,0.002779014092926549,0.0028538892959159567,22,0.6556386947631836,False
C,1,9,-0.00033666423156825093,-0.0001855188440521452,0.00060223137953797,22,0.6101517677307129,False
C,1,10,0.003077192296027136,0.003006038340673381,0.004566562977500452,22,0.46277761459350586,False
C,1,11,0.0012636234604116935,0.0004110457359572852,0.0006085132933298737,22,0.06341934204101562,False
C,1,12,0.002780510802253924,0.0031512851474732703,0.0009063241958357359,22,0.017200946807861328,True
C,1,13,0.004593461963073913,0.004362494600235109,0.0021301547362588464,22,0.06341934204101562,False
C,1,14,0.0007931285857808026,0.0017369104641952239,0.0009808279543744897,22,0.5445904731750488,False
C,1,15,-0.0010286980961671166,-0.0001721711354126946,0.0005719583526207565,22,0.3534979820251465,False
C,2,0,-0.0014865405230203204,-0.001210096181936576,0.0007060586908581871,22,0.02513885498046875,False
C,2,1,-0.0004150878250483351,-0.0009112876769023079,0.0008639039385913982,22,0.2615199089050293,False
C,2,2,-0.00026146272816053405,-0.0005637283585554604,0.0007052465700108923,22,0.4060330390930176,False
