k,cat_a,cat_b,intersection,jaccard,expected_jaccard,p_upper
5,A,B,0,0.0,0.006553079947575361,1.0
5,A,C,0,0.0,0.006553079947575361,1.0
5,B,C,1,0.1111111111111111,0.006553079947575361,0.06375494016724248
10,A,B,1,0.05263157894736842,0.013192612137203168,0.23436848730442097
10,A,C,2,0.1111111111111111,0.013192612137203168,0.024606429031659598
10,B,C,3,0.17647058823529413,0.013192612137203168,0.001395053730985183
20,A,B,7,0.21212121212121213,0.0267379679144385,1.7373452445175697e-05
20,A,C,5,0.14285714285714285,0.0267379679144385,0.0021348174418268505
20,B,C,8,0.25,0.0267379679144385,1.0270417193177328e-06
30,A,B,8,0.15384615384615385,0.04065040650406504,0.0009506409444189041
30,A,C,9,0.17647058823529413,0.04065040650406504,0.00014865328681306063
30,B,C,14,0.30434782608695654,0.04065040650406504,7.900854556259456e-10
